employee_id,amount,from_date,to_date
496023,73025,1999-04-18,2000-04-17
207623,54481,2000-04-26,2001-04-26
478071,82485,1995-03-14,1996-03-13
285640,40000,1991-05-08,1992-05-07
403713,77305,2000-05-24,2001-05-24
14253,54073,1995-06-07,1996-06-06
297869,69147,1998-09-01,1999-09-01
451676,66947,1995-07-30,1996-07-29
32581,69342,2000-05-22,2001-05-22
453800,45922,1990-12-10,1991-12-10
100887,52808,1990-09-12,1991-09-12
238015,65723,2000-08-23,2001-08-23
241397,74973,1996-04-16,1997-04-16
232574,85893,1996-11-27,1997-11-27
292098,63398,1999-02-11,2000-02-11
205109,77750,2001-06-01,2002-06-01
435072,44351,1992-05-16,1993-05-16
72512,67774,1991-02-21,1992-02-21
274618,49265,1996-08-06,1997-08-06
78120,56554,1998-02-08,1999-02-08
284570,45305,1999-01-20,2000-01-20
18619,40000,1993-10-08,1994-10-08
86757,40000,1989-11-13,1990-11-13
200840,75173,2000-12-19,2001-12-19
243317,67014,2001-10-11,9999-01-01
463404,64013,1997-08-17,1998-08-17
237610,61216,1996-02-28,1997-02-27
89038,62876,1991-07-18,1992-07-17
446975,44053,1990-05-20,1991-05-20
484507,40000,1985-06-26,1986-06-26
64106,67490,1990-08-28,1991-08-28
85012,44308,1998-10-10,1999-10-10
446704,55477,1995-10-24,1996-10-23
207123,61548,1998-02-24,1999-02-24
411214,58544,1995-05-18,1996-05-17
23265,54533,2002-07-01,9999-01-01
41941,41553,2000-03-31,2001-03-31
428422,53317,2002-06-15,9999-01-01
274161,53353,1995-01-17,1996-01-17
23937,89934,2000-01-28,2001-01-27
242540,57241,2001-06-11,2002-06-11
248409,50587,2000-11-15,2001-11-15
16828,61076,1998-12-14,1999-12-14
35956,64580,2001-05-11,2002-05-11
92440,40000,1990-10-07,1991-10-07
92954,50070,1998-01-28,1999-01-28
298208,73814,1991-06-18,1992-06-17
216532,45844,1987-07-23,1988-07-22
256520,46397,1999-10-03,2000-10-02
99483,40193,1995-06-13,1996-06-12
484884,101365,2002-06-29,9999-01-01
249422,100273,1994-07-19,1995-07-19
286812,62278,1999-08-14,1999-09-05
79962,42426,2001-01-29,2002-01-29
244488,85880,1996-12-30,1997-12-30
441235,95426,1996-04-23,1997-04-23
76915,52750,1988-07-30,1989-07-30
481100,41051,2000-10-11,2001-10-11
286946,61475,1989-03-24,1990-03-24
291746,51504,2000-11-08,2001-11-08
473561,122504,1998-03-27,1999-03-27
24952,60447,2002-05-10,9999-01-01
462387,87890,1993-04-29,1994-04-29
286981,96098,2000-01-22,2001-01-21
52896,57875,1999-10-11,2000-10-10
68716,60116,2002-05-24,9999-01-01
497441,47356,1989-12-08,1990-12-08
88461,71074,2002-02-28,9999-01-01
270469,78078,2001-05-16,2002-05-16
252534,96989,1989-06-26,1990-06-26
280706,75746,2001-01-19,2002-01-19
267994,50287,1998-11-14,1999-11-14
219771,43080,1989-06-30,1990-06-30
496119,72617,1998-05-26,1999-05-26
204658,41569,1992-11-18,1993-11-18
462164,52949,1989-04-19,1990-04-19
248210,99998,1998-12-10,1999-12-10
261716,82600,2000-12-18,2001-12-18
257244,48108,1998-05-26,1999-05-26
270359,90624,1997-11-06,1998-11-06
101425,60754,1989-07-25,1990-07-25
241542,49993,1999-10-21,2000-10-20
67204,73973,1991-02-21,1992-02-21
42951,86992,1999-12-28,2000-12-27
105425,56477,1989-07-26,1990-07-26
263720,119906,2000-12-16,2001-12-16
50625,55039,1999-08-28,2000-08-27
92773,102680,1996-05-23,1997-05-23
407514,54862,1999-02-19,2000-02-19
224932,57862,1996-11-05,1997-04-20
403474,59619,1997-08-15,1998-08-15
213276,60130,1991-05-15,1992-05-14
102895,41900,1988-11-16,1989-11-16
216658,55548,1995-08-24,1996-08-23
411465,45032,1994-05-30,1995-05-30
201792,55908,1994-05-12,1995-05-12
57965,82102,1996-07-07,1997-07-07
66606,58855,2000-08-17,2001-08-17
426490,55744,1988-02-21,1989-02-20
400673,64061,2002-01-29,9999-01-01
244629,73906,1995-11-05,1996-11-04
407741,47307,1989-07-10,1990-07-10
471870,46462,1993-11-08,1994-11-08
472783,59011,1999-08-16,2000-08-15
489427,62076,2001-09-21,9999-01-01
261775,64398,1997-04-23,1998-04-23
229483,40619,1996-02-20,1997-02-19
238850,72623,1997-04-28,1998-04-28
90799,40000,1989-06-09,1990-06-09
219097,81491,1993-07-21,1994-07-21
469839,60627,1997-04-29,1998-04-29
479464,88628,1998-01-28,1999-01-28
106466,58002,1993-12-19,1994-12-19
474938,45492,1995-05-11,1996-05-10
58624,47707,1990-07-03,1991-07-03
283484,55808,1993-10-01,1994-10-01
284127,86352,2000-08-21,2001-08-21
478446,80440,1999-01-22,2000-01-22
44582,64927,2001-09-06,9999-01-01
76991,60176,1998-10-06,1999-10-06
290765,41146,1987-02-04,1988-02-04
74505,52431,1999-12-21,2000-12-20
19642,53428,2001-05-12,2002-05-12
406770,65989,1992-03-11,1993-03-11
280278,75256,2002-01-28,9999-01-01
18040,59018,1995-06-09,1996-06-08
108483,57157,1993-02-22,1994-02-22
470760,80722,1995-11-16,1996-11-15
425556,95349,2001-10-25,9999-01-01
227168,48003,1990-07-21,1991-07-21
248783,44468,2001-06-20,2002-06-20
448580,55401,1997-11-08,1998-11-08
234521,50743,1998-04-19,1999-04-19
36938,72810,1999-11-07,2000-11-06
66184,61330,2001-05-16,2002-05-16
273945,55786,1998-09-22,1999-09-22
461209,54101,1995-12-02,1996-12-01
239966,89117,1999-05-23,2000-05-22
280255,116588,2002-03-27,9999-01-01
280175,70591,1993-09-23,1994-09-23
37696,76135,1999-03-11,2000-03-10
252786,43531,1993-11-14,1994-11-14
266737,46508,2002-07-28,9999-01-01
491908,60257,2001-01-11,2002-01-11
233914,101568,2002-07-08,9999-01-01
101914,99878,1998-11-17,1999-11-17
222847,39847,1998-11-28,1999-11-28
255973,46938,1995-07-22,1996-07-21
479305,61134,1998-03-31,1999-03-31
237413,56595,1989-10-24,1990-09-12
290439,74626,1996-08-24,1997-08-24
245690,86189,1999-01-27,2000-01-27
57961,74561,1995-09-23,1996-09-22
219456,67581,2001-01-29,2002-01-29
291119,94112,2000-09-24,2001-09-24
71837,76658,2001-09-03,9999-01-01
488723,86400,2001-04-09,2002-04-09
59743,66037,2000-04-06,2001-04-06
459990,76503,1994-10-20,1995-10-20
25197,62912,2002-02-25,9999-01-01
425793,96349,2000-09-29,2001-09-29
297617,57866,2001-12-27,9999-01-01
479131,71351,1998-05-13,1999-05-13
229874,52537,1987-09-05,1988-09-04
43628,60982,2000-01-17,2001-01-16
263191,80611,2002-06-28,9999-01-01
292669,44156,1992-09-22,1993-09-22
445792,96700,1995-12-03,1996-12-02
225274,78669,2001-06-14,2002-06-14
249129,75633,1991-12-24,1992-12-23
248463,70289,1995-01-06,1996-01-06
256391,57182,1995-05-11,1996-05-10
243829,82051,2001-11-05,9999-01-01
213445,46270,1993-06-18,1994-06-18
295504,58420,1996-02-09,1997-02-08
53951,84242,1995-02-05,1996-02-05
447758,58901,1996-04-20,1997-04-20
421125,44989,1998-07-06,1999-07-06
491752,53392,1996-05-12,1997-05-12
205897,64214,1989-05-18,1990-05-18
470508,50396,1995-08-12,1996-08-11
489563,60997,1994-04-10,1995-04-10
55172,46216,1995-07-11,1996-07-10
431408,85869,1996-05-07,1997-05-07
430836,67470,1990-02-16,1991-02-16
417493,56872,2000-12-28,2001-12-28
200745,56167,1999-10-21,2000-10-20
71576,66427,1990-02-13,1991-02-13
464329,42729,1990-04-11,1991-04-11
486073,60254,1995-08-21,1996-08-20
448724,69923,1994-04-17,1995-04-17
244623,47797,1995-03-23,1996-03-22
408102,74876,2000-10-20,2001-10-20
286161,50018,1996-11-29,1997-11-29
290522,45102,1994-11-09,1995-11-09
90193,72845,1994-10-13,1995-10-13
75163,65752,2001-06-11,2002-06-11
100219,60549,1995-03-09,1996-03-08
104903,71226,2000-09-25,2001-09-25
231447,53985,1990-05-29,1991-05-29
272022,54457,1991-04-26,1992-04-25
213366,48823,1990-06-06,1991-06-06
493018,44316,1994-12-31,1995-12-31
420821,50310,1996-04-25,1997-04-25
92082,42854,1988-11-29,1989-11-29
35885,44044,1993-03-17,1994-03-17
245910,52022,1996-08-02,1997-08-02
483711,42402,1986-03-03,1987-03-03
452476,48724,1994-02-19,1995-02-19
80625,52947,1999-10-31,2000-10-30
15096,67077,1997-03-02,1998-03-02
427588,66021,1998-10-13,1999-10-13
18011,55307,1996-08-27,1997-08-27
100308,68139,2000-11-28,2001-11-28
499715,47538,2001-08-19,9999-01-01
55835,57430,1999-10-19,2000-10-18
489678,53023,2000-02-01,2001-01-31
418563,81890,2000-05-31,2001-05-31
203924,77326,1996-02-15,1997-02-14
264116,52134,1993-02-23,1994-02-23
297357,51070,1990-12-23,1991-12-23
74760,43992,1998-11-02,1999-11-02
36138,60025,1997-09-17,1998-09-17
235107,72125,1991-06-16,1992-06-15
472409,53361,1999-05-14,2000-05-13
410930,57950,1992-12-15,1993-12-15
96743,53495,1989-02-05,1990-02-05
486643,54088,1992-11-26,1993-11-26
244932,55076,2001-02-24,2002-02-24
82899,46699,1999-07-05,2000-07-04
66132,60493,1995-08-20,1996-08-19
213042,54759,1993-04-02,1994-04-02
258957,104605,2001-12-18,9999-01-01
410208,89914,2000-09-13,2001-09-13
462947,68030,1991-11-04,1992-11-03
496191,47523,2000-03-15,2001-03-15
44070,71639,1992-04-20,1993-04-20
278693,52237,1995-06-24,1996-06-23
219017,90790,1996-01-30,1997-01-29
44124,47685,2000-05-25,2001-05-25
488123,39858,1993-04-25,1994-04-25
269385,59873,1995-09-01,1996-08-31
71668,50810,1999-11-30,2000-11-29
245126,57869,1993-01-22,1994-01-22
244091,50070,1997-12-05,1998-12-05
61831,72751,1997-12-26,1998-12-26
235066,87708,1988-03-16,1989-03-16
292806,79308,1999-04-09,2000-04-08
292532,70468,1993-08-12,1994-08-12
108641,49460,1989-02-12,1990-02-12
224478,105806,1992-08-17,1993-08-17
472050,58420,1997-12-11,1998-12-11
294449,57505,2000-07-09,2001-07-09
232385,60807,1990-08-26,1991-08-26
17705,57282,1988-08-13,1989-08-13
473636,62097,2001-09-23,9999-01-01
17614,48726,2002-07-02,9999-01-01
284529,53527,1993-12-06,1994-12-06
39751,73292,1998-05-14,1999-05-14
409547,43766,1998-08-10,1998-12-11
279470,46128,1985-04-08,1986-04-08
282665,44095,1995-09-24,1996-09-23
431523,44348,1995-05-12,1996-05-11
89281,58757,1999-03-05,2000-03-04
477054,93947,2002-06-14,9999-01-01
226051,83295,2000-02-05,2001-02-04
46975,85155,2002-06-03,9999-01-01
58852,52278,1986-04-05,1987-04-05
260167,63774,1997-07-09,1998-07-09
248362,68664,2000-09-19,2001-09-19
401891,66574,1993-08-27,1994-08-27
271413,58349,2001-05-04,2002-05-04
77957,62966,2002-07-08,9999-01-01
421395,43692,2001-03-21,2002-03-21
107949,54930,1996-03-14,1997-03-14
238881,59562,1992-01-15,1993-01-14
75187,60652,2001-08-01,2002-08-01
407820,67345,2002-08-01,9999-01-01
469294,59942,2001-01-11,2002-01-11
471584,62702,1997-10-16,1998-10-16
415131,45970,1998-12-09,1999-12-09
50681,54341,1989-04-05,1990-04-05
448729,49398,2002-04-04,9999-01-01
476503,44376,1997-11-01,1998-11-01
105922,60840,1999-06-29,2000-06-28
208747,98086,1999-11-23,2000-11-22
489669,46957,1989-02-02,1990-02-02
422735,64929,1999-04-18,2000-04-17
36647,50366,2002-01-27,9999-01-01
223380,40567,1993-10-08,1994-10-08
285105,68094,2001-11-06,9999-01-01
417344,53578,1996-08-20,1997-08-20
47683,63004,1994-03-24,1995-03-24
411308,54593,1985-09-09,1986-09-09
98949,53587,1994-01-23,1995-01-23
223560,68772,1990-09-04,1991-09-04
465725,58784,2001-03-30,2002-03-30
254549,96764,2002-03-28,9999-01-01
282561,78033,2001-06-07,2002-06-07
463525,82417,1999-12-08,2000-12-07
34991,40000,1991-08-11,1991-12-22
439201,58032,2000-11-01,2001-11-01
224380,66455,1992-02-19,1993-02-18
233858,51889,1987-07-06,1988-07-05
16797,86238,2000-06-24,2001-06-24
22410,39622,1998-10-15,1999-10-15
63653,100401,1999-03-30,1999-12-10
284452,65678,1996-07-23,1997-07-23
447297,64129,1991-07-04,1992-07-03
459289,89447,2001-08-01,2002-08-01
437219,65953,1998-07-23,1999-07-23
12795,61159,1990-06-23,1991-06-23
200261,72801,1995-01-17,1996-01-17
89288,57891,1996-03-01,1997-03-01
400743,43087,1997-02-13,1998-02-13
81648,96604,2001-02-15,2002-02-15
461004,42055,1993-08-23,1994-08-23
430624,44763,1998-09-04,1999-09-04
492183,61126,2001-03-25,2002-03-25
39129,62263,2002-06-26,9999-01-01
215106,52393,1996-12-05,1997-12-05
408269,72480,1998-09-07,1999-09-07
296233,63840,2000-02-19,2001-02-18
109736,40000,1998-06-22,1999-06-22
78174,40000,1986-03-13,1987-03-13
478505,51328,1998-07-26,1999-07-26
64288,46775,1988-06-28,1989-06-28
201937,48650,1999-11-21,2000-11-20
77765,40000,1995-07-20,1996-07-19
240722,59915,1999-03-29,2000-03-28
413358,96906,1999-01-20,2000-01-20
12815,99211,2001-02-23,2002-02-23
294852,97851,2002-06-16,9999-01-01
294332,60595,1989-07-05,1990-07-05
274198,62723,2001-10-23,9999-01-01
431623,64173,1993-11-30,1994-11-30
62183,56217,1995-09-20,1996-09-19
493205,51779,1998-11-03,1999-11-03
250431,43807,2002-03-02,9999-01-01
431225,43040,1988-12-22,1989-12-22
40267,52369,1992-12-15,1993-12-15
238510,64512,2000-10-14,2001-10-14
427496,73135,1996-12-19,1997-12-19
293484,73432,1995-02-06,1996-02-06
94594,46148,1993-11-17,1994-11-17
249042,42322,1992-01-18,1992-12-14
231389,61555,1988-05-02,1989-05-02
418575,73728,1994-03-21,1995-03-21
89184,61593,1998-08-29,1999-08-29
449495,59392,2002-02-25,9999-01-01
254261,68017,1991-02-26,1992-02-26
221704,61988,2000-08-31,2001-08-31
474001,57486,2001-06-26,2002-06-26
64782,59157,1996-11-04,1997-11-04
266983,66460,2000-05-26,2001-05-26
421179,40000,1991-11-07,1992-11-06
285042,56462,1994-11-22,1995-11-22
433845,72355,2002-06-15,9999-01-01
432788,40000,1995-03-09,1996-03-08
287739,67451,1995-06-21,1996-06-20
32040,78266,1996-08-22,1997-08-22
491667,51789,1992-06-23,1993-05-05
24224,50843,1991-03-29,1992-03-28
412263,45665,1993-04-15,1994-04-15
74388,73385,2001-04-29,2002-04-29
251883,92127,1991-04-18,1992-04-17
241271,96579,1997-03-28,1998-03-28
24219,45508,1994-11-18,1995-11-18
87853,49002,1998-06-04,1999-06-04
95755,45757,1991-08-27,1992-08-26
25675,40000,1991-06-09,1992-06-08
231600,49603,1992-11-02,1993-11-02
69106,82812,2002-04-09,9999-01-01
252694,43255,1995-09-15,1996-09-14
12601,51040,1995-07-09,1996-07-08
254812,63868,1995-05-28,1996-05-27
273777,40693,1989-05-04,1990-05-04
45932,91398,1999-08-28,2000-08-27
234965,68301,1999-02-28,2000-02-28
215917,45839,1987-07-20,1988-07-19
406352,44893,2002-03-22,9999-01-01
428553,64549,1991-12-24,1992-12-23
252268,52734,2001-10-09,9999-01-01
63583,60574,2002-04-13,9999-01-01
431380,50221,1998-05-09,1999-05-09
20611,58812,1991-11-13,1992-11-12
467102,91664,2000-08-12,2001-08-12
74954,74951,1996-06-20,1997-06-20
44951,54919,1994-07-24,1995-07-24
51000,72663,2000-09-16,2001-09-16
466327,64374,2001-02-14,2002-02-14
266215,49332,1997-07-13,1998-07-13
419792,76960,2000-05-20,2001-05-20
422210,39993,1993-11-08,1994-11-08
205704,43798,1991-05-10,1992-05-09
16861,85665,2000-12-10,2001-12-10
224267,74276,2000-02-06,2000-08-01
292120,54941,1993-11-23,1994-11-23
11647,49595,1997-05-09,1998-05-09
231916,42193,1999-07-25,2000-07-24
446288,78139,2000-07-20,2001-07-20
227265,61278,2000-07-11,2001-07-11
284307,79841,1993-01-30,1994-01-30
215375,82412,2000-01-20,2001-01-19
204029,91358,1994-05-27,1995-05-27
272251,66627,1994-07-27,1995-07-27
483272,49471,2000-10-13,2001-10-13
103935,75090,1993-12-04,1994-12-04
274158,43059,1993-02-26,1994-02-26
31340,52034,1988-05-05,1989-05-05
72971,65245,1997-12-19,1998-12-19
480548,48850,1996-04-05,1997-04-05
450528,40727,1997-09-29,1998-09-29
289813,59067,1997-08-17,1998-08-17
95943,82532,1993-05-26,1994-05-26
439214,67384,1994-03-18,1995-03-18
28978,52314,2000-02-15,2001-02-14
220584,69439,2000-08-02,2001-08-02
439955,74588,2002-07-17,9999-01-01
239625,83982,1996-12-02,1997-12-02
452603,93291,2002-01-20,9999-01-01
467415,48914,1994-09-04,1995-09-04
441342,76727,1996-02-12,1997-02-11
449408,59631,1998-08-27,1999-08-27
230552,60504,1993-10-04,1994-10-04
479011,49360,1993-12-05,1994-12-05
417252,87848,1999-06-01,2000-05-31
402004,54709,2001-02-13,2002-02-13
44870,74887,2000-09-14,2001-09-14
71918,90985,2000-07-12,2001-07-12
76381,77118,1995-12-13,1996-12-12
200491,92269,2002-01-09,9999-01-01
58717,74322,2000-12-16,2001-12-16
89492,97563,2002-05-18,9999-01-01
420304,51845,1999-04-01,2000-03-31
454501,46126,1988-10-19,1989-10-19
234405,77645,2000-08-10,2001-08-10
33777,58197,1987-10-04,1988-10-03
76668,52259,1998-08-21,1999-08-21
478589,79778,1997-12-03,1998-12-03
279509,47459,1998-02-09,1999-02-09
211787,88778,1998-11-10,1999-11-10
223508,45048,1989-08-02,1990-08-02
425804,73767,1999-04-10,2000-04-09
90695,72180,1999-11-08,2000-11-07
63250,71283,2002-04-06,9999-01-01
87230,87522,1997-10-02,1998-10-02
469656,67002,1997-03-03,1998-03-03
29414,97474,1998-02-03,1999-02-03
236027,41534,1996-07-04,1997-07-04
226682,40952,1998-05-08,1999-05-08
498839,82501,1998-10-26,1999-10-26
253206,62923,1998-04-27,1999-04-27
428141,88031,1997-04-12,1998-04-12
460566,70771,1993-03-25,1994-03-25
440413,57686,1996-06-10,1997-06-10
12126,56921,1992-12-01,1993-12-01
21908,72607,1996-03-18,1997-03-18
11723,108725,2001-09-24,9999-01-01
201596,41502,1998-08-06,1999-08-06
270283,54405,1996-06-23,1997-06-23
443844,91177,1991-01-28,1992-01-28
265892,53456,2001-04-25,2002-04-25
261987,43993,1991-03-28,1992-03-27
73016,51426,1998-05-16,1999-05-16
45321,40000,1993-09-13,1994-09-13
202713,79193,2001-02-17,2001-05-12
108192,68125,2002-06-02,9999-01-01
481650,71748,1998-02-22,1999-02-22
213032,63958,1997-02-13,1998-02-13
44726,61849,2001-06-09,2002-06-09
247547,63925,2002-01-16,9999-01-01
209989,103138,2001-09-03,9999-01-01
109283,57833,1997-11-27,1998-11-27
419939,43189,1996-01-18,1997-01-17
401071,68213,2002-02-20,9999-01-01
102982,41957,1998-01-11,1999-01-11
461432,70347,1998-03-29,1999-03-29
213414,40000,1991-04-16,1992-04-15
219140,40000,1992-06-26,1993-06-26
226037,49132,1998-05-12,1999-05-12
407132,44655,1998-02-09,1999-02-09
441074,50930,1993-10-09,1994-10-09
426857,65184,2002-05-31,9999-01-01
294903,40000,1990-08-07,1991-08-07
441300,41363,1988-06-07,1989-06-07
103141,63040,1991-02-06,1992-02-06
60706,72132,1999-06-09,2000-06-08
498932,42875,1999-04-11,2000-04-10
433511,59856,2001-06-08,2002-06-08
78054,65746,1998-04-29,1999-04-29
498666,61898,1998-09-15,1999-09-15
485489,81478,2001-12-10,9999-01-01
295726,44165,1997-06-14,1998-06-14
33656,53605,1997-10-01,1998-10-01
455366,62707,1989-04-19,1990-04-19
278106,41231,1993-11-25,1994-11-25
494112,58076,1990-12-19,1991-12-19
233016,80807,2002-05-26,9999-01-01
64081,59091,1998-01-17,1999-01-17
50949,104476,2002-07-04,9999-01-01
467206,86437,1999-12-13,2000-12-12
20883,65355,1997-12-25,1998-12-25
31789,42894,1990-08-14,1991-08-14
299794,62799,1999-12-23,2000-12-22
442829,84604,1992-05-05,1993-05-05
91715,69939,1988-04-25,1989-04-25
261043,57209,1992-03-08,1993-03-08
463098,54163,1996-07-14,1997-07-14
104208,93062,1990-07-19,1991-07-19
90914,54078,1990-04-27,1991-04-27
443092,46841,1996-07-25,1997-07-25
69962,79961,1993-03-22,1994-03-22
413981,90464,1993-07-01,1994-07-01
25622,81079,1996-12-30,1997-12-30
283655,43998,1990-01-03,1991-01-03
458132,58298,1995-06-01,1996-05-31
458149,76446,1995-08-31,1996-08-30
495533,74581,1995-06-01,1996-05-31
209410,46269,1993-10-11,1994-10-11
456981,85595,1998-08-12,1999-08-12
427815,45458,1992-12-24,1993-12-24
402106,72594,1994-03-19,1995-03-19
61912,53785,1995-02-08,1996-02-08
105324,47760,1999-09-05,2000-09-04
295558,40000,1989-08-12,1990-08-12
203223,42773,1996-09-18,1997-09-18
38110,56180,1995-04-01,1996-03-31
80791,89404,1999-02-25,2000-02-25
104499,89302,1998-10-31,1999-10-31
207512,40837,1992-05-14,1993-05-14
430721,98195,2001-01-30,2002-01-30
404024,77849,1996-10-22,1997-10-22
467625,74486,2001-01-27,2002-01-27
220828,69599,2002-07-09,9999-01-01
499179,58996,2002-07-22,9999-01-01
456906,62116,1994-04-10,1995-04-10
59936,44051,1996-03-20,1997-03-20
23438,45373,1998-08-23,1999-08-23
473233,63636,1999-07-06,2000-07-05
468827,41607,2000-12-08,2001-12-08
466678,78561,1999-04-14,2000-04-13
433333,66140,2000-07-23,2001-07-23
29050,67986,1993-01-08,1994-01-08
420771,84674,2002-06-28,9999-01-01
256490,49307,2000-02-08,2001-02-07
233970,50869,1993-04-27,1994-04-27
492022,49954,2001-03-03,2002-03-03
459639,74722,1997-12-25,1998-12-25
201995,40000,1995-05-11,1996-05-10
81415,97668,2000-02-12,2001-02-11
21071,41127,1999-06-16,2000-06-15
208439,75613,1999-01-01,2000-01-01
487343,48633,1999-11-09,2000-11-08
261961,44039,1998-07-26,1999-07-26
102328,56627,1995-09-22,1996-09-21
100846,42662,1988-01-30,1988-10-23
491064,43956,1991-08-06,1992-08-05
410032,47514,2001-01-03,2002-01-03
439856,62580,2001-10-15,9999-01-01
56080,47455,1996-04-20,1997-04-20
458061,65975,1998-06-20,1999-06-20
241445,39868,2000-07-07,2001-07-07
33971,78798,2000-02-26,2001-02-25
477444,47131,1989-06-08,1990-06-08
483656,116697,1997-10-27,1998-10-27
498203,71476,2000-09-05,2001-09-05
14829,61259,1989-07-31,1990-07-31
401996,102042,1993-05-19,1994-05-19
220295,52020,2002-05-13,9999-01-01
95331,90611,1995-02-07,1996-02-07
89665,50942,1997-05-29,1998-05-29
101887,42705,1989-09-04,1990-09-04
294735,65961,1991-02-27,1992-02-27
94864,69659,1997-05-15,1998-05-15
446446,59998,1989-09-07,1990-09-07
438503,100234,1995-11-09,1996-11-08
37955,61263,1999-11-06,2000-11-05
254857,79001,1989-04-24,1990-04-24
25959,47921,2000-11-09,2001-11-09
16099,41567,1991-10-23,1992-10-22
50297,72844,1991-11-18,1992-11-17
465885,66085,1998-11-23,1999-11-23
448723,45796,1997-03-12,1998-03-12
94952,51882,1992-08-07,1993-08-07
431174,72289,1995-10-21,1996-10-20
468979,53002,1988-03-08,1989-03-08
469182,41927,1991-01-01,1992-01-01
485009,60699,1993-06-06,1994-06-06
64629,73306,2001-07-28,2002-07-28
266541,71307,2000-03-16,2001-03-16
292274,61308,1994-08-04,1995-08-04
67284,83511,1992-10-06,1993-10-06
219138,48279,1996-05-31,1997-05-31
402669,102712,2000-07-27,2001-07-27
207589,49916,1999-01-03,2000-01-03
423574,74959,1995-10-16,1996-10-15
209155,53134,1997-03-18,1998-03-18
254521,61830,1995-07-08,1996-07-07
483303,91409,2000-06-04,2001-06-04
207740,66336,1992-10-12,1993-10-12
269852,59579,1998-09-21,1999-09-21
38434,40560,1997-06-23,1998-06-23
79846,94094,1999-03-18,2000-03-17
